Class,Day,Course,Section,Type,Time
C-Margala 1,Wednesday,Data St Lab ,CS-F,Lab,02:25-05:10
C-Margala 3,Wednesday,PF Lab ,CS-G,Lab,08:30-11:15
C-Margala 3,Wednesday,IICT Lab ,AI-B,Lab,11:25-02:10
C-Margala 3,Wednesday,PF Lab ,CS-E,Lab,02:25-05:10
C-Margala 4,Wednesday,Data St Lab ,CS-G,Lab,08:30-11:15
C-Margala 4,Wednesday,PF Lab ,CY-B,Lab,11:25-02:10
C-Margala 4,Wednesday,Data St Lab ,AI-A,Lab,02:25-05:10
C-Rawal 1,Wednesday,Prog for AI Lab ,AI-B,Lab,08:30-11:15
C-Rawal 1,Wednesday,COAL Lab ,CS-E,Lab,11:25-02:10
C-Rawal 1,Wednesday,OOP Lab ,"CY, 23",Lab,02:25-05:10
Rawal 3 (B-232),Wednesday,IICT Lab ,CY-A,Lab,08:30-11:15
Rawal 3 (B-232),Wednesday,Comp Net ,CS-J,Lab,11:25-02:10
Rawal 3 (B-232),Wednesday,Comp Net ,CS-K,Lab,02:25-05:10
C-Rawal 4,Wednesday,Intro to DS Lab ,DS-C,Lab,08:30-11:15
C-Rawal 4,Wednesday,OS Lab ,DS-D,Lab,11:25-02:10
C-Rawal 4,Wednesday,DAV Lab ,DS-C,Lab,02:25-05:10
C-GPU Lab,Wednesday,ML ,AI-B,Lab,11:25-02:10
A-Karakoram 1,Wednesday,DB ,"DS-A, 22",Lab,08:30-11:15
A-Karakoram 1,Wednesday,OS ,AI-A,Lab,11:25-02:10
A-Karakoram 2,Wednesday,Digi Forensics Lab ,CY-C,Lab,08:30-11:15
A-Karakoram 2,Wednesday,Web Engg Lab ,SE-D,Lab,11:25-02:10
A-Karakoram 2,Wednesday,OS Lab ,SE-A,Lab,02:25-05:10
A-Karakoram 3,Wednesday,OS Lab ,"CS-A, 22",Lab,08:30-11:15
A-Karakoram 3,Wednesday,OS Lab ,SE-E,Lab,11:25-02:10
