Class,Day,Course,Section,Type,Time
A-Karakoram 2,Monday,OOP Lab ,"AI/DS-B, 22",Lab,08:30-11:15
A-Karakoram 2,Monday,OS ,SE-D,Lab,11:25-02:10
A-Karakoram 2,Monday,Web Engg Lab ,SE-A,Lab,02:25-05:10
A-Karakoram 3,Monday,DB Lab ,"SE-B, 22",Lab,08:30-11:15
A-Karakoram 3,Monday,Web Engg Lab ,SE-E,Lab,11:25-02:10
A-Karakoram 3,Monday,Comp Net ,DS-U,Lab,02:25-05:10
A-Mehran 1,Monday,Digi Forensics Lab ,CY-D,Lab,08:30-11:15
A-Mehran 1,Monday,DB Lab ,CY-C,Lab,02:25-05:10
A-Mehran 2,Monday,Func Eng Lab ,AI-B1,Lab,11:25-02:10
A-CALL-1,Monday,FSM,FSM,Lab,08:30-11:15
A-CALL-1,Monday,Func Eng Lab ,AI-B2,Lab,11:25-02:10
A-CALL-2,Monday,Func Eng Lab ,CS-D1,Lab,08:30-11:15
A-CALL-2,Monday,Func Eng Lab ,CS-B1,Lab,11:25-02:10
A-CALL-3,Monday,Func Eng Lab ,CS-D2,Lab,08:30-11:15
A-CALL-3,Monday,Func Eng Lab ,CS-B2,Lab,11:25-02:10
B-Digital,Monday,DLD Lab ,DS-C,Lab,08:30-11:15
